"rank_abs_delta","parid","county","acres_2020","acres_2026","n_tcc_pixels","mean_tcc_2020","mean_tcc_2025","delta_pp","abs_delta_pp","owner_type_2020","owner_type_2026","owner_type_changed","still_in_cfp_2026"
70,"877","Houghton",20,20,92,53.6739130434783,80.3913043478261,26.7173913043478,26.7173913043478,"Private Individual(s)","Trust",TRUE,TRUE
71,"10261","Houghton",160,160,740,79.777027027027,53.1810810810811,-26.5959459459459,26.5959459459459,"Forest Industry","Forest Industry",FALSE,TRUE
72,"5263","Keweenaw",80,80,352,45.9715909090909,72.5113636363636,26.5397727272727,26.5397727272727,"Forest Industry","Forest Industry",FALSE,TRUE
73,"19053","Keweenaw",80,80,352,66.1875,39.9289772727273,-26.2585227272727,26.2585227272727,"Forest Industry","Forest Industry",FALSE,TRUE
74,"5273","Keweenaw",320,320,1452,79.513085399449,53.267217630854,-26.245867768595,26.245867768595,"Forest Industry","Forest Industry",FALSE,TRUE
75,"27875","Houghton",639.77,639.77,2789,77.1272857655074,50.9609178917175,-26.1663678737899,26.1663678737899,"Forest Industry","Forest Industry",FALSE,TRUE
76,"20664","Keweenaw",320,320,1441,75.2401110340042,49.2338653712699,-26.0062456627342,26.0062456627342,"Forest Industry","Forest Industry",FALSE,TRUE
77,"23680","Keweenaw",80,NA,358,37.427374301676,63.3184357541899,25.891061452514,25.891061452514,"Private Individual(s)","non-CFP in 2026",FALSE,FALSE
78,"10307","Houghton",240,240,1091,58.8029330889093,84.6617781851512,25.858845096242,25.858845096242,"Forest Industry","Forest Industry",FALSE,TRUE
79,"15712","Houghton",83.36,83.36,342,71.8888888888889,46.2222222222222,-25.6666666666667,25.6666666666667,"Forest Industry","Forest Industry",FALSE,TRUE
80,"22063","Houghton",80,80,368,83.820652173913,58.375,-25.445652173913,25.445652173913,"Forest Industry","Forest Industry",FALSE,TRUE
81,"19012","Keweenaw",160,160,716,52.7527932960894,77.5223463687151,24.7695530726257,24.7695530726257,"Forest Industry","Other Business",TRUE,TRUE
82,"6150","Keweenaw",80,80,353,73.1218130311615,48.5325779036827,-24.5892351274788,24.5892351274788,"Forest Industry","Forest Industry",FALSE,TRUE
83,"18538","Houghton",40,40,180,55.0833333333333,79.6611111111111,24.5777777777778,24.5777777777778,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
84,"23206","Keweenaw",80,80,360,51.4027777777778,75.9555555555555,24.5527777777778,24.5527777777778,"Forest Industry","Other Business",TRUE,TRUE
